"Jurisdiction","Precinct","Race","Candidate","Votes"
"Clark","7693 - HEN","State Assembly, District 21","Eisen, Andy","246"
"Clark","7693 - HEN","State Assembly, District 21","Sanacore, Adam-John","26"
"Clark","7694 - HEN","State Assembly, District 21","Armstrong, Derek","246"
"Clark","7694 - HEN","State Assembly, District 21","Eisen, Andy","246"
"Clark","7694 - HEN","State Assembly, District 21","Sanacore, Adam-John","23"
"Clark","7695 - HEN","State Assembly, District 21","Armstrong, Derek","223"
"Clark","7695 - HEN","State Assembly, District 21","Eisen, Andy","200"
"Clark","7695 - HEN","State Assembly, District 21","Sanacore, Adam-John","19"
"Clark","7701 - COUNTY","State Assembly, District 21","Armstrong, Derek","7"
"Clark","7701 - COUNTY","State Assembly, District 21","Eisen, Andy","18"
"Clark","7701 - COUNTY","State Assembly, District 21","Sanacore, Adam-John","1"
"Clark","7702 - HEN","State Assembly, District 21","Armstrong, Derek","214"
"Clark","7702 - HEN","State Assembly, District 21","Eisen, Andy","253"
"Clark","7702 - HEN","State Assembly, District 21","Sanacore, Adam-John","19"
"Clark","7703 - HEN","State Assembly, District 21","Armstrong, Derek","202"
"Clark","7703 - HEN","State Assembly, District 21","Eisen, Andy","157"
"Clark","7703 - HEN","State Assembly, District 21","Sanacore, Adam-John","13"
"Clark","7704 - HEN","State Assembly, District 21","Armstrong, Derek","97"
"Clark","7704 - HEN","State Assembly, District 21","Eisen, Andy","114"
"Clark","7704 - HEN","State Assembly, District 21","Sanacore, Adam-John","8"
