State,Cycle Year,Level,Seats,Institution,Institution Note,Party Control,Governor,Governor Role,Upper House,Upper House Role,Lower House,Lower House Role,Court Action,Passed,Start Date,End Date,Plan Status,Drawn by,Party drawing,SHPsource,GeoJSON,ZIP,PDF
CA,2010,State Lower,80,Independent commission,,Split,D,No role,"25 D, 15 R",No role,"52 D, 28 R",No role,Rejected challenge to commission map,2011-08-15,2012-01-17,2021-12-26,Superseded,Independent commission,Split,https://wedrawthelines.ca.gov/wp-content/uploads/sites/64/2011/08/viz_20110728_q2_ad_finaldraft_shp.zip,ca_2010_state_lower_2012-01-17.json,ca_2010_state_lower_2012-01-17.zip,ca_2010_state_lower_2012-01-17.pdf
CA,2020,Congress,52,Independent commission,,Split,D,No role,"31 D, 9 R",No role,"60 D, 19 R, 1 O",No role,,2021-12-26,2021-12-26,2031-06-30,Active,Independent commission,Nonpartisan,,ca_2020_congress_2021-12-26.json,ca_2020_congress_2021-12-26.zip,ca_2020_congress_2021-12-26.pdf
CA,2020,State Upper,40,Independent commission,,Split,D,No role,"31 D, 9 R",No role,"60 D, 19 R, 1 O",No role,,2021-12-26,2021-12-26,2031-06-30,Active,Independent commission,Nonpartisan,,ca_2020_state_upper_2021-12-26.json,ca_2020_state_upper_2021-12-26.zip,ca_2020_state_upper_2021-12-26.pdf
CA,2020,State Lower,80,Independent commission,,Split,D,No role,"31 D, 9 R",No role,"60 D, 19 R, 1 O",No role,,2021-12-26,2021-12-26,2031-06-30,Active,Independent commission,Nonpartisan,,ca_2020_state_lower_2021-12-26.json,ca_2020_state_lower_2021-12-26.zip,ca_2020_state_lower_2021-12-26.pdf
CO,2000,Congress,7,Legislature,,Split,R,,"18 D, 17 R",,"28 D, 37 R",,court drew map (not legislature),2002-01-25,2002-01-25,2011-11-10,Superseded,State court,n/a,,co_2000_congress_2002-01-25.json,co_2000_congress_2002-01-25.zip,co_2000_congress_2002-01-25.pdf
CO,2000,State Upper,35,Politician commission,,Uncertain,R,,"18 D, 17 R",No role,"28 D, 37 R",No role,court sent map back to commission,2001-11-27,2001-11-27,2002-02-07,Struck by state court,Politician commission,Uncertain,,co_2000_state_upper_2001-11-27.json,co_2000_state_upper_2001-11-27.zip,co_2000_state_upper_2001-11-27.pdf
CO,2000,State Lower,65,Politician commission,,Uncertain,R,,"18 D, 17 R",No role,"28 D, 37 R",No role,court sent map back to commission,2001-11-27,2001-11-27,2002-02-07,Struck by state court,Politician commission,Uncertain,,co_2000_state_lower_2001-11-27.json,co_2000_state_lower_2001-11-27.zip,co_2000_state_lower_2001-11-27.pdf
CO,2000,State Upper,35,Politician commission,,Uncertain,R,,"18 D, 17 R",No role,"28 D, 37 R",No role,rejected challenge to commission map,2002-02-07,2002-02-07,2011-09-19,Superseded,Politician commission,Uncertain,,co_2000_state_upper_2002-02-07.json,co_2000_state_upper_2002-02-07.zip,co_2000_state_upper_2002-02-07.pdf
CO,2000,State Lower,65,Politician commission,,Uncertain,R,,"18 D, 17 R",No role,"28 D, 37 R",No role,rejected challenge to commission map,2002-02-07,2002-02-07,2011-09-19,Superseded,Politician commission,Uncertain,,co_2000_state_lower_2002-02-07.json,co_2000_state_lower_2002-02-07.zip,co_2000_state_lower_2002-02-07.pdf
CO,2010,Congress,7,Legislature,,Split,D,,"20 D, 15 R",,"32 D, 33 R",,Court drew map (not legislature),2011-12-05,2011-12-05,2021-11-01,Superseded,State court,n/a,https://redistricting.colorado.gov/sites/redistricting/files/Moreno_South_Shapefiles.zip,co_2010_congress_2011-12-05.json,co_2010_congress_2011-12-05.zip,co_2010_congress_2011-12-05.pdf
